,home,away,value,draw
0,0,0,4.98,borderedMiddle
1,0,1,8.11,bordered
2,0,2,6.99,bordered
3,0,3,4.34,bordered
4,0,4,1.81,bordered
5,0,5,0.76,bordered
6,1,0,6.18,bordered
7,1,1,10.98,borderedMiddle
8,1,2,9.4,bordered
9,1,3,5.4,bordered
10,1,4,2.56,bordered
11,1,5,1.18,bordered
12,2,0,4.41,bordered
13,2,1,6.83,bordered
14,2,2,5.77,borderedMiddle
15,2,3,3.66,bordered
16,2,4,1.54,bordered
17,2,5,0.81,bordered
18,3,0,1.7,bordered
19,3,1,3.06,bordered
20,3,2,2.89,bordered
21,3,3,1.67,borderedMiddle
22,3,4,0.71,bordered
23,3,5,0.38,bordered
24,4,0,0.51,bordered
25,4,1,0.88,bordered
26,4,2,0.8,bordered
27,4,3,0.4,bordered
28,4,4,0.24,borderedMiddle
29,4,5,0.14,bordered
30,5,0,0.16,bordered
31,5,1,0.24,bordered
32,5,2,0.26,bordered
33,5,3,0.14,bordered
34,5,4,0.06,bordered
35,5,5,0.04,borderedMiddle
